TABLE1,COL1,TABLE2,COL2,IS_CONSISTENT
G_SUBS,SUBS_NAME,T_SB_ZNYC_DZ,BDZMC,YES
G_SUBS,SUBS_NO,T_SB_ZNYC_DZ,SBBM,YES
T_TX_ZNYC_DZ,OID,T_SB_ZNYC_DZ,SBBM,NO
T_TX_ZNYC_DZ,OID,T_SB_ZNYC_DZ,YXBH,NO
G_SUBS,VOLT_CODE,T_SB_ZNYC_DZ,DYDJ,YES
G_SUBS,SUBS_ADDR,T_SB_ZNYC_DZ,ZZ,YES
T_TX_ZNYC_DZ,SBZLX,T_SB_ZNYC_DZ,ZCXZ,NO
T_TX_ZNYC_DZ,STATE_ID,T_SB_ZNYC_DZ,TYRQ,NO
T_TX_ZNYC_DZ,FHJD,T_SB_ZNYC_DZ,ZDMJ,NO
T_TX_ZNYC_DZ,SBMC,T_SB_ZNYC_DZ,ZZ,NO
T_TX_ZNYC_DZ,DYDJ,T_SB_ZNYC_DZ,WHDJ,NO
T_TX_ZNYC_DZ,VERSIONID,T_SB_ZNYC_DZ,SFDW,NO
T_TX_ZNYC_DZ,STATE_ID,T_SB_ZNYC_DZ,BZ,NO
T_TX_ZNYC_DZ,TYPE,T_SB_ZNYC_DZ,ZYCD,NO
T_TX_ZNYC_DZ,SSZRQ,T_SB_ZNYC_DZ,DQTZ,NO
T_TX_ZNYC_DZ,FHDX,T_SB_ZNYC_DZ,HB,NO
G_SUBS,ORG_NO,T_SB_ZNYC_DZ,YWDW,YES
G_SUBS,RUN_STATUS_CODE,T_SB_ZNYC_DZ,YXZT,YES
G_SUBS,PMS_SUBS_ID,T_SB_ZNYC_DZ,OBJ_ID,YES
G_SUBS,SUBS_ADDR,T_TX_ZNYC_DZ,SSZRQ,NO
G_SUBS,SUBS_ADDR,T_TX_ZNYC_DZ,SBMC,NO
G_SUBS,RUN_STATUS_CODE,T_TX_ZNYC_DZ,FHDX,NO
G_SUBS,CHG_DATE,T_TX_ZNYC_DZ,STATE_ID,NO
G_SUBS,MT_CAP,T_TX_ZNYC_DZ,STATE_ID,NO
G_SUBS,CONTAINER,T_TX_ZNYC_DZ,TYPE,NO
G_SUBS,SUBS_NAME,T_TX_ZNYC_DZ,SBMC,YES
G_SUBS,VOLT_CODE,T_TX_ZNYC_DZ,DYDJ,YES
G_LINE,WIRE_LEN,T_TX_ZWYC_XL,CXJG,NO
G_LINE,WIRE_LEN,T_TX_ZWYC_XL,SSDKX,NO
G_LINE,VOLT_CODE,T_TX_ZWYC_XL,QSDZLX,NO
G_LINE,RESOURCEID,T_TX_ZWYC_XL,QSDSB,NO
G_LINE,SOURCE_CHANGE_TIME,T_TX_ZWYC_XL,VERSIONID,NO
G_LINE,CONS_ID,T_TX_ZWYC_XL,STATE_ID,NO
G_LINE,LN_FLAG,T_TX_ZWYC_XL,XLLX,NO
G_SUBS,ORG_NO,T_TX_ZNYC_DZ,YXDW,YES
G_SUBS,PMS_SUBS_ID,T_TX_ZNYC_DZ,SBID,YES
T_SB_ZNYC_DZ,SBBM,T_TX_ZNYC_DZ,SBID,YES
G_LINE,WIRE_LEN,T_SB_ZWYC_XL,XLZCD,NO
G_LINE,WIRE_SPEC_CODE,T_SB_ZWYC_XL,GLDKXID,NO
T_SB_ZNYC_DZ,BDZMC,T_TX_ZNYC_DZ,SBMC,YES
T_SB_ZNYC_DZ,YXBH,T_TX_ZNYC_DZ,YXBH,YES
G_LINE,LN_FLAG,T_SB_ZWYC_XL,DQTZ,NO
G_LINE,UNIT_RESI,T_SB_ZWYC_XL,DLXLCD,NO
G_LINE,WIRE_SPEC_CODE,T_SB_ZWYC_XL,DLJXFS,NO
G_LINE,RESOURCEID,T_SB_ZWYC_XL,SSKX,NO
G_LINE,CONTAINER,T_SB_ZWYC_XL,FBZT,NO
G_LINE,SOURCE_CHANGE_TIME,T_SB_ZWYC_XL,DJSJ,NO
G_LINE,LINE_NAME,T_SB_ZWYC_XL,QDWZMC,NO
